transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,profit,product_first_sold_date,gender,past_3_years_bike_related_purchases,age_clean,job title,industry
13,35,1243,2017-02-26,true,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,903.11,1994-07-12,Male,73,71,Research Assistant II,Retail
14,16,2717,2017-09-10,false,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,182.81,1994-09-09,Male,31,44,Registered Nurse,Health
15,12,247,2017-06-11,false,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1055.82,2004-07-25,Female,62,42,Staff Accountant II,Financial Services
16,3,2961,2017-10-10,false,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1702.55,2003-09-09,Male,56,50,Assistant Manager,Health
17,79,2426,2017-04-03,false,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,737.57,2004-08-07,Unknown,64,47,NULL,IT
18,33,1842,2017-06-02,false,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,144.26,1992-10-11,Male,89,48,Accountant IV,Financial Services
19,54,2268,2017-04-06,true,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1279.4,2009-04-12,Female,66,59,Pharmacist,Health
20,25,3002,2017-01-28,true,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34,2002-03-22,Male,62,68,Paralegal,Financial Services
21,27,1582,2017-10-09,false,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,110.81,1999-06-23,Male,32,47,Office Assistant III,Property
22,37,595,2017-06-29,true,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1544.61,1999-07-20,Male,72,52,VP Marketing,Financial Services
23,37,2001,2017-04-08,true,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1544.61,2015-05-21,Female,21,47,Analog Circuit Design manager,Manufacturing
24,82,515,2017-10-18,false,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34,2016-02-04,Female,55,35,Help Desk Operator,IT
25,89,2822,2017-06-11,false,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1305.25,1993-04-20,Female,83,44,Professor,
26,64,2596,2017-01-10,false,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,872.89,2015-05-21,Female,51,48,Assistant Professor,
27,64,2666,2017-04-11,true,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,872.89,2012-05-18,Male,2,54,Occupational Therapist,Health
28,19,76,2017-12-23,false,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,114.93,2016-07-09,Female,20,47,Statistician II,Retail
29,72,3368,2017-10-13,true,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,90.1,2016-12-06,Female,7,57,Technical Writer,Financial Services
30,91,1173,2017-03-15,false,Approved,WeareA2B,Standard,low,medium,642.31,513.85,128.46,2014-10-10,Female,58,47,Statistician IV,Retail
31,88,2810,2017-09-05,true,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,817.36,2002-10-10,Male,27,63,NULL,Property
32,1,3214,2017-02-18,false,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,448.68,2016-11-14,Female,2,32,Software Engineer III,Financial Services
33,25,1272,2017-03-20,false,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34,2016-02-04,Female,2,40,NULL,Manufacturing
34,99,2003,2017-02-28,true,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,189.28,2006-10-01,Female,80,63,Statistician III,Manufacturing
35,0,2171,2017-08-20,false,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,167.21,2005-10-22,Female,21,55,Pharmacist,Health
36,92,3356,2017-07-07,false,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,155.65,2003-09-10,Male,47,66,Safety Technician II,Financial Services
37,14,1040,2017-01-09,false,Approved,Solex,Standard,high,large,1842.92,1105.75,737.17,1995-10-24,Female,78,50,Food Chemist,Health
38,2,2916,2017-12-06,false,Approved,Solex,Standard,medium,medium,71.49,53.62,17.87,1991-11-07,Male,23,55,Product Engineer,Manufacturing
39,12,427,2017-09-12,false,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1069.55,2005-12-07,Male,77,28,Assistant Media Planner,Entertainment
40,0,2448,2017-11-28,true,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,167.21,2005-10-22,Female,5,32,Structural Analysis Engineer,Property
41,44,2570,2017-05-08,true,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1660.88,2003-02-16,Male,13,47,Professor,Financial Services
42,79,3398,2017-05-14,false,Approved,Solex,Touring,medium,large,2083.94,675.03,1408.91,2013-09-16,Male,69,54,NULL,
43,76,488,2017-03-17,false,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,128.46,2014-10-10,Female,24,44,Help Desk Operator,Property
44,46,165,2017-12-22,false,Approved,Solex,Standard,low,medium,1289.85,74.51,1215.34,2003-02-16,Male,61,41,Administrative Officer,Argiculture
45,55,2787,2017-06-07,true,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,1295.43,2015-06-17,Female,92,44,Marketing Assistant,
46,66,3053,2017-06-20,false,Approved,Solex,Standard,medium,medium,1163.89,589.27,574.62,2016-07-09,Female,67,40,Account Coordinator,Retail
47,35,475,2017-05-07,true,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,903.11,1994-07-12,Male,0,28,Nuclear Power Engineer,Manufacturing
48,81,1305,2017-06-10,true,Approved,Solex,Standard,medium,medium,1151.96,649.49,502.47,2012-04-10,Male,97,55,Executive Secretary,Financial Services
49,86,1251,2017-06-17,false,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,110.56,2004-08-07,Male,63,27,Desktop Support Technician,Property
50,32,3103,2017-05-10,false,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,431.33,2002-03-22,Female,5,71,Safety Technician II,Retail
51,77,3108,2017-03-24,false,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,445.21,2011-01-10,Male,94,57,Accounting Assistant III,Entertainment
52,96,857,2017-11-27,false,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,641.64,2007-12-11,Female,15,60,General Manager,
53,6,3455,2017-12-21,true,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,91.15,1991-11-07,Male,29,71,Administrative Officer,
54,27,2549,2017-02-09,true,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,110.81,1994-07-12,Male,12,26,Pharmacist,Health
55,0,3140,2017-09-18,false,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,72.6,2005-05-10,Female,2,40,Legal Assistant,Manufacturing
56,47,3406,2017-11-14,false,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,189.28,1997-02-09,Female,35,46,Business Systems Development Analyst,IT
57,94,2294,2017-08-30,true,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,641.64,2013-06-09,Male,25,38,Associate Professor,Manufacturing
58,91,1031,2017-11-14,false,Approved,Solex,Standard,medium,medium,100.35,75.26,25.09,1999-07-26,Male,75,41,Junior Executive,Manufacturing
59,93,993,2017-02-15,true,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,583.27,2006-02-02,Female,71,48,Account Coordinator,Argiculture
60,60,3473,2017-12-18,false,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,217.51,2014-07-28,Unknown,34,47,Analog Circuit Design manager,IT
61,0,1839,2017-02-24,false,Approved,OHM Cycles,Road,high,large,12.01,7.21,4.8,1993-10-02,Female,60,38,Internal Auditor,Entertainment
62,33,1824,2017-12-18,true,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,144.26,1992-10-11,Female,12,65,Safety Technician III,Manufacturing
63,35,368,2017-12-17,false,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,448.68,2016-11-14,Female,32,38,NULL,Financial Services
64,0,2000,2017-07-08,false,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,110.81,2006-11-10,Unknown,68,47,Assistant Professor,IT
65,28,825,2017-05-16,true,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,133.78,2016-11-22,Male,17,49,Computer Systems Analyst IV,
66,86,3315,2017-02-23,true,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,110.56,1999-07-26,Female,77,30,Account Executive,Property
67,2,75,2017-07-03,true,Approved,Solex,Standard,medium,medium,71.49,53.62,17.87,2012-12-02,Female,28,46,VP Product Management,Property
68,4,1498,2017-09-30,true,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,451.65,2004-09-28,Female,84,35,Nurse,
69,38,1612,2017-10-21,true,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1702.55,2012-09-15,Male,70,38,Community Outreach Specialist,Financial Services
70,27,2192,2017-05-06,true,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,110.81,1999-06-23,Male,93,58,Staff Accountant II,
71,54,419,2017-01-03,false,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,1279.4,2009-04-12,Female,34,44,VP Marketing,Manufacturing
72,77,3307,2017-05-09,true,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1660.88,2011-05-09,Female,96,46,Analyst Programmer,Health
73,22,2430,2017-07-23,false,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,15.08,1993-07-15,Male,38,56,Quality Engineer,
74,56,1506,2017-01-21,true,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,45.96,1997-10-04,Male,21,67,NULL,Property
75,58,1346,2017-06-20,false,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,771.12,2015-10-18,Male,9,55,Administrative Assistant IV,Telecommunications
76,22,927,2017-03-10,false,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,15.08,1991-11-10,Male,25,59,Cost Accountant,Financial Services
77,50,763,2017-06-02,false,Approved,WeareA2B,Standard,medium,small,175.89,131.92,43.97,2003-02-16,Female,95,37,Computer Systems Analyst IV,Manufacturing
78,80,2397,2017-11-07,false,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,139.23,1998-12-16,Male,33,40,Analyst Programmer,Retail
79,87,102,2017-09-12,true,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,471.6,1997-08-25,Male,51,68,Quality Control Specialist,Manufacturing
80,15,2884,2017-12-16,false,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,209.84,2005-12-07,Female,99,63,Assistant Professor,
81,84,759,2017-10-07,true,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,198.22,1992-10-02,Male,89,62,Clinical Specialist,Health
82,21,773,2017-04-27,true,Approved,Solex,Standard,medium,large,1071.23,380.74,690.49,2011-05-07,Male,77,40,NULL,Financial Services
83,0,3398,2017-04-01,true,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,110.56,2003-01-05,Male,69,54,NULL,
84,33,3297,2017-11-02,true,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,144.26,1992-10-11,Male,39,50,Product Engineer,Manufacturing
85,84,2434,2017-02-13,true,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,75.48,2004-12-18,Male,40,68,Environmental Specialist,
86,1,1861,2017-07-19,false,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,448.68,2004-09-28,Female,26,57,Geological Engineer,Manufacturing
87,27,1233,2017-05-23,false,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,110.81,1991-08-05,Female,17,47,NULL,Retail
88,31,1390,2017-08-06,false,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,547.28,1993-04-20,Female,74,25,Accounting Assistant I,Retail
89,0,2682,2017-04-04,true,Approved,OHM Cycles,Road,high,large,12.01,7.21,4.8,2010-05-05,Female,54,37,Accountant III,Manufacturing
90,62,439,2017-08-15,true,Approved,Solex,Standard,medium,medium,478.16,298.72,179.44,1993-06-23,Female,26,51,GIS Technical Architect,
91,17,1579,2017-04-15,true,Approved,Solex,Standard,high,medium,1024.66,614.8,409.86,1996-04-05,Female,40,47,Desktop Support Technician,Financial Services
92,73,2984,2017-07-25,true,Approved,Solex,Standard,medium,medium,1945.43,333.18,1612.25,2000-05-22,Female,48,66,Payment Adjustment Coordinator,Manufacturing
93,33,3470,2017-11-28,true,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,144.26,1999-12-04,Female,56,57,Recruiting Manager,Health
94,86,1,2017-12-23,false,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,110.56,2005-05-10,Female,93,71,Executive Secretary,Health
95,45,757,2017-02-26,false,Approved,Solex,Standard,medium,medium,441.49,84.99,356.5,1993-04-12,Male,91,48,Environmental Tech,Financial Services
96,1,1778,2017-02-21,false,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,448.68,2011-04-16,Female,72,24,Staff Accountant III,
97,80,211,2017-05-31,true,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,139.23,2004-12-18,Female,6,51,VP Marketing,Manufacturing
98,49,333,2017-06-23,unknown,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,133.38,2003-07-21,Female,25,60,Sales Associate,Financial Services
99,95,32,2017-03-26,false,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,41.13,2003-09-10,Female,17,30,Legal Assistant,Manufacturing
100,0,119,2017-07-31,false,Approved,Solex,Standard,medium,medium,478.16,298.72,179.44,1998-12-17,Male,9,43,Associate Professor,
101,18,2347,2017-07-27,false,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,459.46,2015-08-10,Female,79,68,Programmer Analyst I,
102,4,2353,2017-04-14,false,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,451.65,2011-04-16,Male,93,46,Health Coach IV,Health
103,33,788,2017-11-12,false,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,144.26,1992-10-11,Male,62,61,Social Worker,Health
104,78,1468,2017-09-12,false,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1055.82,2004-07-25,Female,37,47,Financial Advisor,Financial Services
105,89,821,2017-10-26,false,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1305.25,2013-06-09,Male,41,43,Financial Analyst,Financial Services
106,70,2489,2017-02-15,false,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,198.29,2015-04-11,Female,42,49,Speech Pathologist,Retail
107,79,2710,2017-12-22,false,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,737.57,2003-09-09,Male,77,27,NULL,Retail
108,26,947,2017-10-11,true,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,1230.3,1993-05-26,Female,43,39,Pharmacist,Health
109,39,1335,2017-03-27,true,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,1230.27,2006-10-01,Female,57,27,NULL,Entertainment
110,36,1076,2017-11-04,false,Approved,Solex,Standard,low,medium,945.04,507.58,437.46,1995-12-19,Male,33,25,Pharmacist,Health
111,0,3320,2017-06-11,true,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,14.23,2015-06-17,Female,16,31,Nuclear Power Engineer,Manufacturing
112,84,779,2017-10-09,false,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,198.22,1992-10-02,Female,1,33,Staff Accountant III,Health
113,98,3296,2017-06-07,true,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,143.36,1991-05-06,Female,78,50,Quality Engineer,Financial Services
114,75,455,2017-10-24,true,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,1010.02,2003-09-09,Male,97,33,Civil Engineer,Manufacturing
115,76,1779,2017-05-01,false,Approved,WeareA2B,Standard,low,medium,642.31,513.85,128.46,2005-05-10,Male,55,28,Information Systems Manager,Argiculture
116,72,2703,2017-11-21,true,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,90.1,2011-01-10,Female,37,45,NULL,Manufacturing
117,42,806,2017-03-24,false,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,199.1,1993-04-12,Male,66,32,Sales Representative,Retail
118,20,22,2017-03-21,false,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,195.34,2010-05-05,Female,79,62,NULL,IT
119,64,1591,2017-02-20,false,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,872.89,2005-10-22,Male,4,48,Operator,Manufacturing
120,0,678,2017-06-16,false,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,198.29,2015-04-11,Female,57,29,Accounting Assistant II,IT
121,25,50,2017-12-04,false,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34,1992-10-11,Male,38,44,Account Executive,Manufacturing
122,24,1038,2017-12-01,true,Approved,Solex,Road,medium,large,1777.8,820.78,957.02,1993-05-26,Unknown,57,47,Engineer I,Manufacturing
123,31,1453,2017-03-05,true,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,547.28,2015-08-02,Male,54,47,Computer Systems Analyst I,Health
124,98,1339,2017-03-21,false,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,693.76,1997-02-09,Female,82,46,Editor,IT
125,22,3382,2017-01-03,true,Approved,Solex,Standard,medium,medium,575.27,431.45,143.82,2013-03-12,Male,90,47,Business Systems Development Analyst,
126,53,773,2017-04-01,false,Approved,OHM Cycles,Standard,medium,medium,795.34,101.58,693.76,2003-07-21,Male,77,40,NULL,Financial Services
127,84,2503,2017-03-16,true,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,75.48,2005-05-10,Male,80,57,Budget/Accounting Analyst I,Health
128,25,1057,2017-02-26,false,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34,2016-02-04,Female,73,56,Registered Nurse,Health
129,50,1397,2017-06-05,false,Approved,WeareA2B,Standard,medium,small,175.89,131.92,43.97,2015-10-18,Male,29,46,Legal Assistant,Manufacturing
130,44,2134,2017-09-04,false,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,1660.88,2011-05-09,Male,16,25,Nurse,Manufacturing
131,96,2403,2017-01-18,true,Approved,WeareA2B,Road,low,small,1172.78,1043.77,129.01,2002-10-10,Female,41,47,Technical Writer,Financial Services
132,12,1937,2017-09-28,false,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,1069.55,2004-08-17,Male,69,51,Quality Engineer,Health
133,93,1282,2017-09-02,true,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,834.94,2002-10-10,Male,99,44,Programmer Analyst III,Entertainment
134,78,2183,2017-05-09,false,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1055.82,1991-07-10,Female,61,53,Programmer Analyst IV,Manufacturing
135,84,1788,2017-10-17,false,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,198.22,2006-05-22,Female,79,60,Account Representative IV,Financial Services
136,65,1170,2017-04-25,true,Approved,WeareA2B,Standard,medium,medium,1807.45,778.69,1028.76,2015-04-11,Female,62,60,Assistant Professor,IT
138,29,1940,2017-08-02,false,Approved,WeareA2B,Standard,medium,medium,1065.03,230.09,834.94,2000-11-03,Female,52,48,Teacher,Manufacturing
139,32,2073,2017-03-25,false,Cancelled,Giant Bicycles,Standard,high,medium,1179.0,707.4,471.6,2000-11-03,Female,87,51,NULL,Manufacturing
140,11,462,2017-01-01,false,Approved,Giant Bicycles,Standard,high,medium,1274.93,764.96,509.97,2016-07-09,Female,32,65,NULL,Manufacturing
141,10,2728,2017-12-22,false,Approved,Solex,Standard,medium,medium,1945.43,333.18,1612.25,2002-08-31,Female,55,66,Physical Therapy Assistant,IT
142,46,2053,2017-12-25,false,Approved,Solex,Standard,low,medium,1289.85,74.51,1215.34,2012-06-04,Male,7,47,NULL,Financial Services
143,60,2135,2017-01-26,true,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,217.51,2012-05-18,Male,97,44,Structural Engineer,
144,92,1217,2017-12-20,false,Approved,WeareA2B,Touring,medium,large,1890.39,260.14,1630.25,1991-01-21,Female,67,56,Structural Engineer,Manufacturing
145,7,2992,2017-06-07,true,Approved,Trek Bicycles,Road,low,medium,980.37,234.43,745.94,2005-12-07,Female,26,51,Clinical Specialist,Health
146,41,3261,2017-04-06,true,Approved,Solex,Road,medium,medium,416.98,312.74,104.24,1997-05-10,Male,6,50,NULL,Property
147,67,2748,2017-04-25,true,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,167.21,2005-10-22,Female,96,57,Quality Engineer,Financial Services
148,14,3262,2017-01-13,false,Approved,Trek Bicycles,Standard,medium,small,1386.84,1234.29,152.55,2003-08-05,Male,65,65,Product Engineer,Entertainment
149,89,788,2017-03-21,false,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,1305.25,1993-04-20,Male,62,61,Social Worker,Health
150,9,3067,2017-11-21,true,Approved,OHM Cycles,Road,medium,medium,742.54,667.4,75.14,1994-09-09,Female,8,34,Chief Design Engineer,Manufacturing
151,31,701,2017-11-11,false,Approved,Giant Bicycles,Standard,medium,medium,230.91,173.18,57.73,2003-03-18,Male,18,69,Food Chemist,Health
152,92,648,2017-10-16,false,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,155.65,2000-11-03,Male,86,47,Accountant II,Financial Services
153,37,3286,2017-08-19,true,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1544.61,1999-07-20,Male,23,64,Assistant Media Planner,Entertainment
154,3,3383,2017-04-06,true,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1702.55,2011-08-29,Male,47,43,Financial Analyst,Financial Services
155,56,982,2017-11-04,true,Approved,Norco Bicycles,Mountain,low,small,688.63,612.88,75.75,2016-02-04,Male,14,65,Geologist III,Health
156,14,676,2017-08-22,true,Approved,Solex,Standard,high,large,1842.92,1105.75,737.17,2003-09-09,Male,51,57,Senior Editor,
157,6,385,2017-09-15,true,Approved,Solex,Standard,high,medium,748.17,448.9,299.27,2015-04-11,Male,69,58,Project Manager,Health
158,50,1229,2017-03-01,true,Approved,WeareA2B,Standard,medium,small,175.89,131.92,43.97,2009-04-12,Male,38,25,GIS Technical Architect,Manufacturing
159,10,3232,2017-08-16,false,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,1103.43,2013-03-12,Female,7,31,Payment Adjustment Coordinator,Financial Services
161,69,2381,2017-07-10,false,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,198.22,2015-04-11,Female,91,52,Programmer I,Argiculture
162,78,371,2017-12-11,false,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1055.82,2004-07-25,Male,7,71,Systems Administrator III,Financial Services
163,80,2519,2017-05-20,true,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,139.23,2015-08-10,Male,76,45,Senior Developer,Manufacturing
164,17,2264,2017-07-30,false,Approved,Solex,Standard,high,medium,1024.66,614.8,409.86,1996-11-09,Female,18,52,Occupational Therapist,Health
165,3,2637,2017-10-25,true,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,1702.55,2005-08-09,Female,28,52,Help Desk Operator,Retail
166,78,3262,2017-11-27,false,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,1055.82,2004-07-25,Male,65,65,Product Engineer,Entertainment
167,90,3177,2017-04-26,unknown,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,72.6,2005-05-10,Male,93,47,Database Administrator IV,
168,87,2267,2017-02-02,false,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,471.6,1997-08-25,Female,78,61,Business Systems Development Analyst,
169,97,456,2017-05-02,false,Approved,Solex,Standard,medium,large,202.62,151.96,50.66,2004-01-16,Male,47,49,Automation Specialist I,Manufacturing
170,6,404,2017-10-16,unknown,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,91.15,2003-08-05,Male,92,29,Geologist I,Financial Services
171,100,3121,2017-10-22,false,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,830.24,1991-05-06,Male,82,66,Data Coordiator,Manufacturing
172,55,2365,2017-04-11,true,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,1295.43,1991-01-21,Female,2,26,Structural Analysis Engineer,Argiculture
173,100,2528,2017-11-16,false,Approved,Norco Bicycles,Road,medium,medium,1036.59,206.35,830.24,1991-05-06,Male,81,46,Senior Editor,Financial Services
174,10,3151,2017-12-17,false,Approved,WeareA2B,Touring,medium,medium,1466.68,363.25,1103.43,1994-09-09,Unknown,20,47,Senior Developer,IT
175,25,3241,2017-12-23,false,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,709.34,2016-11-22,Male,34,45,Budget/Accounting Analyst IV,Manufacturing
176,74,1335,2017-03-30,true,Approved,WeareA2B,Standard,medium,medium,1228.07,400.91,827.16,2003-09-09,Female,57,27,NULL,Entertainment
177,90,2234,2017-04-13,false,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,72.6,2005-05-10,Male,48,38,Electrical Engineer,Manufacturing
178,56,3226,2017-07-25,true,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,45.96,1997-10-04,Female,43,52,NULL,Entertainment
179,62,1365,2017-01-31,false,Approved,Solex,Standard,medium,medium,478.16,298.72,179.44,1993-06-23,Male,97,33,Research Associate,Health
180,20,3349,2017-03-18,true,Approved,Trek Bicycles,Standard,medium,small,1775.81,1580.47,195.34,2010-05-05,Male,11,44,Director of Sales,Argiculture
181,17,1002,2017-02-24,false,Approved,Solex,Standard,high,medium,1024.66,614.8,409.86,2011-05-07,Male,65,46,Business Systems Development Analyst,
182,16,2282,2017-02-18,false,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,182.81,2013-03-12,Male,81,68,Senior Financial Analyst,Financial Services
183,46,2656,2017-01-07,false,Approved,Solex,Standard,low,medium,1289.85,74.51,1215.34,2012-06-04,Female,80,66,Statistician III,
